en,zh-CN,description
agent,主体,
agents,主体,
agentset,主体集合,
agentsets,主体集合,
breed,种类,
breeds,种类,
clock-tick,时钟周期,
clock-ticks,时钟周期,
diffuse,扩散,
directed link,有向链,
drawing,画图,
emergent process,涌现,
extensions,扩展,
follow,跟随,
heading,方向,
histogram,直方图,
histograms,直方图,
import,导入,
interface,界面,
item,项,
label,标签,
layout,布局,
link,链,
links,链,
list,列表,
lists,列表,
movie,电影,
neighbors,邻居,
observer,观察者,
patch,格子,
pen,画笔,
plot,图表,
plots,图表,
parameter,参数,
parameters,参数,
procedure,过程,
procedures,过程,
report,返回,
reporter,报告指令,
seed,种子,
shape,图形,
slider,滑块,
tick,周期,
ticks,周期,
tie,捆绑,
timer,计时器,
turn increment,旋转增量,
turtle,海龟,
turtles,海龟,
undirected link,无向链,
world,世界,
wrap,回绕,
widget,控件,
widgets,控件,
WHAT IS IT,这个模型是什么,
HOW IT WORKS,这个模型是怎么运行的,
HOW TO USE IT,这个模型怎么用,
THINGS TO NOTICE,看一看,
THINGS TO TRY,试一试,
EXTENDING THE MODEL,改一改,
NETLOGO FEATURES,NetLogo 语言特性,
RELATED MODELS,相关模型,
CREDITS AND REFERENCES,引用和致谢,
HOW TO CITE,如何引用本模型,
COPYRIGHT AND LICENSE,版权和授权,
